Organization Name,Industries,Headquarters Location,Description,CB Rank (Company)
Phoenix Security Cloud,"Cyber Security, SaaS","London, England, United Kingdom","From code to cloud, prioritize vulnerabilities with contextual driven risk quantification",30028
LockTheDeal,"B2B, E-Commerce, Internet, Retail","Gurgaon, Haryana, India","LockTheDeal is an online B2B ecommerce platform for retailers, dealers and traders offering wide range of products and brands.",30029
Intricately,"Analytics, Big Data, Marketing, Sales","San Francisco, California, United States",Intricately provides a data platform that powers cloud sales and marketing.,30030
Chatwork,"Apps, Collaboration, Enterprise Software, File Sharing, Information Technology, Messaging, Task Management, Video, Video Chat, Video Conferencing","Tokyo, Tokyo, Japan","Chatwork is a group chat app for global teams, that includes secure messaging, video chat, task management and file sharing functionality.",30031
Circuit,"Apps, Information Technology, SaaS, Software","Ramsey, Cambridgeshire, United Kingdom","Circuit is a SaaS company providing to route optimization software to consumers, SMB's and enterprise.",30032
Ardagh Metal Packaging,Packaging Services,"Luxembourg, Luxembourg, Luxembourg","Ardagh Metal Packaging is a global supplier of sustainable, infinitely recyclable, metal beverage cans to brand owners.",30033
Rotimatic,"Advertising, Advertising Platforms, Online Portals","San Francisco, California, United States",Zimplistic is a new age kitchen robotics startup driven by the mission to make healthy eating easy.,30034
Arccos Golf,"Application Performance Management, Gaming","Stamford, Connecticut, United States",Revolutionary golf GPS and automatic stat tracking system.,30035
Fitwell,"Fitness, Health Care, mHealth","London, England, United Kingdom",Fitwell is a wellness A.I. start-up focused on providing contextual holistic coaching combining fitness and wellness.,30036
Bundle x Joy,"Consumer Goods, Pet, Subscription Service","Glendale, Arizona, United States","Bundle x Joy is a consumer goods company on a mission to deliver convenience, curation, and community to every pet person.",30037
Culture Machine,"Advertising, Digital Media, Internet, Media and Entertainment, News, Social Media, Video","Mumbai, Maharashtra, India","Culture Machine is a media company that helps creators, brands, and traditional media firms reach the right viewers.",30038
CIPIO.ai,"Advertising, Artificial Intelligence, E-Commerce","Redwood City, California, United States","CIPIO.ai empowers brands to identify, engage and activate influential voices within its own community to grow exponentially.",30039
Iconic Therapeutics,"Biopharma, Biotechnology, Therapeutics","South San Francisco, California, United States",Iconic Therapeutics develops and commercializes immunoconjugate proteins that trigger the immune system to destroy invader cells.,30040
STOKR,"Angel Investment, Blockchain, Crowdfunding, Information Technology, Marketplace, Venture Capital","Luxembourg, Luxembourg, Luxembourg",The new peer-to-peer investment platform for firing up capital markets.,30041
SpeEdLabs,EdTech,"Mumbai, Maharashtra, India","SpeEdLabs is to provide a top-notch, technology-based Adaptive Practice platform for K12 and Test prep segments in India",30042
KeyedIn Solutions,"Enterprise Software, Project Management, SaaS, Software","Bloomington, Minnesota, United States",KeyedIn Solutions develops cloud-based integrated business software systems for specialized vertical markets.,30043
Twin Science & Robotics,"Apps, EdTech, Education, Gaming, Robotics, Software, STEM Education","London, England, United Kingdom",Twin Science & Robotics is an award-winning UK company that develops children’s skills through purpose-led STEM learning.,30044
Clipboard,"Education, Information Technology, Software","Sydney, New South Wales, Australia",Clipboard is a provider of software for managing extracurricular school activities.,30045
Administrate,"E-Learning, Education, Enterprise Software, Human Resources, Information Technology, Software, Training","Edinburgh, Edinburgh, City of, United Kingdom",Administrate is a developer of configurable training management software.,30046
AllyAlign Health,"Clinical Trials, Health Care, Hospital","Glen Allen, Virginia, United States",AllyAlign Health operates as a care management company that focuses on the needs of patients with chronic and complex medical conditions.,30047
Ozone,Advertising,"Los Angeles, California, United States",Ozone believes in the original power of the internet: to empower people across the globe to become creators and entrepreneurs.,30048
Cello,,,User-Led Growth Platform (SaaS),30049
US Well Services,"Energy, Renewable Energy","Houston, Texas, United States",US Well Services is an oil and energy company that offers hydraulic fracturing services.,30050
Daisee,"Artificial Intelligence, Call Center, Computer, InsurTech, Machine Learning, SaaS, Software, Speech Recognition","Sydney, New South Wales, Australia",Daisee uses AI for conversational analytics that rates and ranks all interactions making it easy to know exactly where to focus,30051
MobileCause,"Enterprise Software, FinTech, Mobile, Non Profit, Software","Calabasas, California, United States",MobileCause helps nonprofits attract more donors and inspire recurring donations with its engagement platform.,30052
BosonQ Psi,"Quantum Computing, Software","Bangalore, Karnataka, India",BosonQ Psi builds enterprise SaaS-based engineering simulation software that leverages the power of Quantum computing,30053
Converseon,"Artificial Intelligence, Consulting, Machine Learning, Market Research, Natural Language Processing, SaaS, Semantic Search, Social Media, Software, Text Analytics","New York, New York, United States",Converseon.AI Provides Human-Centered MLaaS Solutions for Social and VoC Data and Insights to Leading Consumer-centric Brands,30054
Synthorx,"Biotechnology, Genetics, Health Care, Therapeutics, Wellness","La Jolla, California, United States",Synthorx is a biotechnology company using synthetic biology to synthesize solutions.,30055
Immunexpress,"Biotechnology, Genetics, Health Diagnostics, Pharmaceutical","Seattle, Washington, United States","Immunexpress Pty Ltd, a molecular diagnostics company, develops clinical assays for the management of immune disorders.",30056
Noteworthy AI,"Artificial Intelligence, Internet of Things, Power Grid","Stamford, Connecticut, United States",Noteworthy provides vehicle-mounted computer vision technology that identifies visual defects in grid assets like utility poles.,30057
AssoConnect,"Human Resources, Information Technology, Internet, Software","Paris, Ile-de-France, France",AssoConnect is the startup that makes life easier for associations.,30058
Staked us,Internet,"New York, New York, United States",Staked is a startup that provides institutional investors with the technical infrastructure for non-custodial staking services.,30059
SFC Capital,"Finance, Financial Services, Venture Capital","London, England, United Kingdom",Early-stage investor combining its own angel syndicate & seed funds to provide investors with diversified exposure to SEIS/EIS businesses.,30060
Embotech,"Autonomous Vehicles, Industrial Automation, Information Technology, Software","Zürich, Zurich, Switzerland","Embotech, short for embedded optimization technologies.",30061
Smart Skin Technologies,"Hardware, Industrial, Software","New Brunswick, New Jersey, United States","Smart Skin Technologies provides an advanced system for measuring line pressure and 3D orientation in glass, can, PET, and more.",30062
Castle,"Property Management, Real Estate, Real Estate Investment","Detroit, Michigan, United States",Castle manages rental homes for landlords using automation and on-demand labor.,30063
Paystand,"B2B, Billing, FinTech, Payments","Scotts Valley, California, United States",Paystand is a cloud-based billing and payment platform for B2B companies.,30064
Everoad by sennder,"Information Technology, Logistics, Retail Technology, Shipping, Transportation","Paris, Ile-de-France, France",Europe’s #1 digital road freight-forwarder.,30065
Bx Technologies,"Agriculture, AgTech, Blockchain, Environmental Engineering, Farming, Information Technology, Software","London, England, United Kingdom",Bx Technologies is a software platform connecting growers and consumers with the goal of reversing climate through food production,30066
CodePen,"Computer, Developer Tools, Internet, Software, Web Browsers, Web Hosting","Bend, Oregon, United States",CodePen is a web-based code editor that enables its users to experiment with code right in the browser.,30067
Bitnomial,"Bitcoin, Cryptocurrency, Financial Exchanges, Financial Services","Chicago, Illinois, United States",Bitnomial offers improved derivatives exchange technology coupled with new digital asset settlement systems.,30068
